row,col,pos_x,pos_y,title,id_mp,id_fr
2,20,365,30,В Iльне м Iсце, ,
2,22,401,30,Стефанчук Руслан Олекс Iйович,202,0
2,24,437,30,Разумков Дмитро Олександрович,201,0
2,26,473,30,Кондратюк Олена Костянтин Iвна,366,0
2,28,509,30,В Iльне м Iсце,,
4,24,437,72,В Iльне м Iсце,,
6,12,221,114,Бакумов Олександр Серг Iйович,150,1
6,13,239,114,Марчук  Iгор Петрович,170,1
6,14,257,114,Жупанин Андр Iй В Iкторович,306,1
6,15,275,114,Шевченко Євген Iй Володимирович,58,1
6,16,293,114,Яцик Юл Iя Григор Iвна,61,1
6,20,365,114,Швець Серг Iй Федорович,191,1
6,21,383,114,Безугла Мар'яна Володимир Iвна,194,1
6,22,401,114,Марусяк Олег Романович,251,1
6,23,419,114,Негулевський  Iгор Петрович,107,1
6,25,455,114,Мотовиловець Андр Iй В Iкторович,290,1
6,26,473,114,Третьякова Галина Миколаївна,253,1
6,27,491,114,Хал Iмон Павло В Iтал Iйович,254,1
6,28,509,114,Гривко Серг Iй Дмитрович,310,1
6,32,581,114,Михайлюк Галина Олег Iвна,246,1
6,33,599,114,Одарченко Андр Iй Миколайович,147,1
6,34,617,114,Ткаченко Олександр Михайлович,118,1
6,35,635,114,Копит Iн  Iгор Володимирович,106,1
6,36,653,114,Красов Олекс Iй  Iгорович,157,1
7,11,203,135,Тимоф Iйчук Володимир Ярославович,71,1
7,12,221,135,Сольський Микола Тарасович,321,1
7,13,239,135,Чорноморов Артем Олегович,108,1
7,14,257,135,Камельчук Юр Iй Олександрович,101,1
7,15,275,135,Чорний Дмитро Серг Iйович,25,1
7,19,347,135,Бондаренко Олег Володимирович,259,1
7,20,365,135,Л Iтв Iнов Олександр Миколайович,155,1
7,21,383,135,Каптєлов Роман Володимирович,27,1
7,22,401,135,Юнаков  Iван Серг Iйович,263,1
7,23,419,135, Iванов Володимир  Iлл Iч,162,1
7,25,455,135,Загоруйко Ал Iна Леон Iд Iвна,258,1
7,26,473,135,Гришина Юл Iя Миколаївна,430,1
7,27,491,135,Ананченко Михайло Олегович,233,1
7,28,509,135,Литвиненко Серг Iй Анатол Iйович,133,1
7,29,527,135,Ск Iчко Олександр Олександрович,174,1
7,33,599,135,Наталуха Дмитро Андр Iйович,214,1
7,34,617,135,Борзова  Iрина Наум Iвна,5,1
7,35,635,135,Рєп Iна Елла Анатол Iївна,277,1
7,36,653,135,Бондар Ганна Вячеслав Iвна,197,1
7,37,671,135,Жмеренецький Олекс Iй Серг Iйович,167,1
8,8,149,156,Ткаченко Олександр Владиславович,209,1
8,9,167,156,Заремський Максим Валентинович,179,1
8,10,185,156,Дирд Iн Максим Євгенович,109,1
8,11,203,156,Бужанський Максим Аркад Iйович,16,1
8,12,221,156,Верещук  Iрина Андр Iївна,229,1
8,13,239,156,Мисяг Iн Юр Iй Михайлович,19,1
8,17,311,156, Iван Iсов Роман Валер Iйович,130,0
8,18,329,156,Устенко Олекс Iй Олегович,283,1
8,19,347,156,Чернявський Степан Миколайович,115,1
8,20,365,156,Арсенюк Олег Олекс Iйович,172,1
8,21,383,156,Яковлєва Нелл I  Iлл Iвна,309,1
8,22,401,156,Крейденко Володимир В Iкторович,319,1
8,23,419,156,Монастирський Денис Анатол Iйович,219,1
8,25,455,156,Забуранна Леся Валентин Iвна,193,1
8,26,473,156,Тарасенко Тарас Петрович,320,1
8,27,491,156,Матусевич Олександр Борисович,68,1
8,28,509,156,Заславський Юр Iй  Iванович,314,1
8,29,527,156,Гур Iн Дмитро Олександрович,195,1
8,30,545,156,Мошенець Олена Володимир Iвна,255,1
8,31,563,156,Колюх Валер Iй В Iкторович,74,1
8,35,635,156,Пас Iчний Олександр Стан Iславович,104,1
8,36,653,156,Здебський Юр Iй В Iкторович,149,1
8,37,671,156,Берез Iн Максим Юр Iйович,128,1
8,38,689,156,Ляшенко Анастас Iя Олекс Iївна,125,1
8,39,707,156,Брагар Євген Iй Вадимович,274,1
8,40,725,156,Торохт Iй Богдан Григорович,301,1
9,7,131,177,Кисилевський Дмитро Давидович,15,1
9,8,149,177,Шпак Любов Олександр Iвна,171,1
9,9,167,177,Лис Олена Георг Iївна,178,1
9,10,185,177,Касай Костянтин  Iванович,126,1
9,11,203,177,Мережко Олександр Олександрович,282,1
9,12,221,177,Мельник Павло В Iкторович,63,1
9,16,293,177,Касай Геннад Iй Олександрович,56,1
9,17,311,177,Подгорна В Iктор Iя Валентин Iвна,324,1
9,18,329,177,Коваль Ольга Володимир Iвна,257,1
9,19,347,177,Кол Iсник Анна Серг Iївна,291,1
9,20,365,177,Копиленко Олександр Любимович,432,1
9,21,383,177,Гетманцев Данило Олександрович,220,1
9,22,401,177,Бабак Серг Iй В Iтал Iйович,211,1
9,23,419,177,Янченко Галина  Iгор Iвна,205,1
9,25,455,177,Ясько Єлизавета Олекс Iївна,215,1
9,26,473,177,Качура Олександр Анатол Iйович,248,1
9,27,491,177,Пивоваров Євген Павлович,152,1
9,28,509,177,Зуєв Максим Серг Iйович,184,1
9,29,527,177,Лаба Михайло Михайлович,52,1
9,30,545,177,Вагнєр В Iктор Iя Олександр Iвна,160,1
9,31,563,177,Копанчук Олена Євген Iвна,166,1
9,32,581,177,Рубльов Вячеслав Володимирович,11,1
9,36,653,177,Кост Iн Андр Iй Євгенович,304,1
9,37,671,177,Сем Iнський Олег Валер Iйович,182,1
9,38,689,177,Кальченко Серг Iй В Iтал Iйович,224,1
9,39,707,177,Горобець Олександр Серг Iйович,77,1
9,40,725,177,Горенюк Олександр Олександрович,113,1
9,41,743,177,Зав Iтневич Олександр Михайлович,238,1
10,6,113,198,Пуртова Анна Анатол Iївна,198,1
10,7,131,198,Мовчан Олекс Iй Васильович,127,1
10,8,149,198,Северин Серг Iй Серг Iйович,30,1
10,9,167,198,Якименко Павло В Iтал Iйович,295,1
10,10,185,198,Гринчук Оксана Анатол Iївна,266,1
10,11,203,198,Ковальчук Олександр Володимирович,129,1
10,15,275,198,Дануца Олександр Анатол Iйович,81,1
10,16,293,198,Бард Iна Марина Олег Iвна,261,1
10,17,311,198,Циба Тетьяна В Iктор Iвна,428,1
10,18,329,198,Бун Iн Серг Iй Валер Iйович,80,1
10,19,347,198,Герасименко  Iгор Леон Iдович,44,1
10,20,365,198,Кицак Богдан В Iкторович,45,1
10,21,383,198,Василевська-Смаглюк Ольга Михайл Iвна,78,1
10,22,401,198,Демченко Серг Iй Олекс Iйович,20,1
10,23,419,198,Бород Iн Владислав Валер Iйович,29,1
10,25,455,198,Тищенко Микола Миколайович,196,1
10,26,473,198,Буйм Iстер Людмила Анатол Iївна,200,1
10,27,491,198,Трух Iн Олександр Миколайович,31,1
10,28,509,198,Кабанов Олександр Євген Iйович,284,1
10,29,527,198,Кузнєцов Олекс Iй Олександрович,87,1
10,30,545,198,Любота Дмитро Валер Iйович,154,1
10,31,563,198,Нестеренко Кирилл Олександрович,17,1
10,32,581,198,В Iльне м Iсце,,
10,33,599,198,Овчинникова Юл Iя Юр Iївна,281,1
10,37,671,198,Радуцький Михайло Борисович,218,1
10,38,689,198,Герман Денис Вадимович,26,1
10,39,707,198,Павл Iш Павло Васильович,159,1
10,40,725,198,Воронько Олег Євген Iйович,85,1
10,41,743,198,Сова Олександр Георг Iйович,269,1
10,42,761,198,Ар Iстов Юр Iй Юр Iйович,241,1
11,4,77,219,Культенко Артем Валер Iйович,250,1
11,5,95,219,Дмитр Iєва Оксана Олександр Iвна,302,1
11,6,113,219,Штепа Серг Iй Серг Iйович,59,1
11,7,131,219,Кузбит Юр Iй Михайлович,83,1
11,8,149,219,Т Iстик Ростислав Ярославович,307,1
11,9,167,219,Вен Iславський Фед Iр Володимирович,285,1
11,13,239,219,Гевко Володимир Леон Iдович,144,1
