mp_id,full_name,post_name,unit_name,post_title
18090,Єфiмов Максим Вiкторович,Член депутатської групи,"Група ""ДОВIРА""","Член депутатської групи ""ДОВIРА"""
18090,Єфiмов Максим Вiкторович,Член Комiтету Верховної Ради України,"Комiтет Верховної Ради України з питань прав людини, деокупацiї та реiнтеграцiї тимчасово окупованих територiй у Донецькiй, Луганськiй областях та Автономної Республiки Крим, мiста Севастополя, нацiональних меншин i мiжнацiональних вiдносин","Член Комiтету Верховної Ради України з питань прав людини, деокупацiї та реiнтеграцiї тимчасово окупованих територiй у Донецькiй, Луганськiй областях та Автономної Республiки Крим, мiста Севастополя, нацiональних меншин i мiжнацiональних вiдносин"
18090,Єфiмов Максим Вiкторович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Федеративною Республiкою Нiмеччина,Член групи з мiжпарламентських зв'язкiв з Федеративною Республiкою Нiмеччина
18090,Єфiмов Максим Вiкторович,Спiвголова групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Швейцарською Конфедерацiєю,Спiвголова групи з мiжпарламентських зв'язкiв з Швейцарською Конфедерацiєю
18090,Єфiмов Максим Вiкторович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Малайзiєю,Член групи з мiжпарламентських зв'язкiв з Малайзiєю
18090,Єфiмов Максим Вiкторович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв з Об'єднаними Арабськими Емiратами,Член групи з мiжпарламентських зв'язкiв з Об'єднаними Арабськими Емiратами
18090,Єфiмов Максим Вiкторович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Сполученими Штатами Америки,Член групи з мiжпарламентських зв'язкiв з Сполученими Штатами Америки
18090,Єфiмов Максим Вiкторович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Республiкою Казахстан,Член групи з мiжпарламентських зв'язкiв з Республiкою Казахстан
18090,Єфiмов Максим Вiкторович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Державою Кувейт,Член групи з мiжпарламентських зв'язкiв з Державою Кувейт
21110,Iванiсов Роман Валерiйович,Голова пiдкомiтету Комiтету Верховної Ради України,Пiдкомiтет з питань антикорупцiйної полiтики в економiчнiй сферi Комiтету Верховної Ради України з питань антикорупцiйної полiтики,Голова пiдкомiтету з питань антикорупцiйної полiтики в економiчнiй сферi Комiтету Верховної Ради України з питань антикорупцiйної полiтики
21110,Iванiсов Роман Валерiйович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Мексиканськими Сполученими Штатами,Член групи з мiжпарламентських зв'язкiв з Мексиканськими Сполученими Штатами
21110,Iванiсов Роман Валерiйович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Чорногорiєю,Член групи з мiжпарламентських зв'язкiв з Чорногорiєю
21110,Iванiсов Роман Валерiйович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Республiкою Кiпр,Член групи з мiжпарламентських зв'язкiв з Республiкою Кiпр
21110,Iванiсов Роман Валерiйович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Соцiалiстичною Республiкою В'єтнам,Член групи з мiжпарламентських зв'язкiв з Соцiалiстичною Республiкою В'єтнам
21110,Iванiсов Роман Валерiйович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв з Об'єднаними Арабськими Емiратами,Член групи з мiжпарламентських зв'язкiв з Об'єднаними Арабськими Емiратами
21110,Iванiсов Роман Валерiйович,Заступник спiвголови групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Республiкою Хорватiя,Заступник спiвголови групи з мiжпарламентських зв'язкiв з Республiкою Хорватiя
21110,Iванiсов Роман Валерiйович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Сполученими Штатами Америки,Член групи з мiжпарламентських зв'язкiв з Сполученими Штатами Америки
21112,Iванов Володимир Iллiч,Член депутатської фракцiї,"Фракцiя ПОЛIТИЧНОЇ ПАРТIЇ ""СЛУГА НАРОДУ""","Член депутатської фракцiї ПОЛIТИЧНОЇ ПАРТIЇ ""СЛУГА НАРОДУ"""
21112,Iванов Володимир Iллiч,Член Комiтету Верховної Ради України,"Комiтет Верховної Ради України з питань органiзацiї державної влади, мiсцевого самоврядування, регiонального розвитку та мiстобудування","Член Комiтету Верховної Ради України з питань органiзацiї державної влади, мiсцевого самоврядування, регiонального розвитку та мiстобудування"
21112,Iванов Володимир Iллiч,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Сполученим Королiвством Великої Британiї та Пiвнiчної Iрландiї,Член групи з мiжпарламентських зв'язкiв з Сполученим Королiвством Великої Британiї та Пiвнiчної Iрландiї
21112,Iванов Володимир Iллiч,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв з Iталiйською Республiкою,Член групи з мiжпарламентських зв'язкiв з Iталiйською Республiкою
21112,Iванов Володимир Iллiч,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Республiкою Казахстан,Член групи з мiжпарламентських зв'язкiв з Республiкою Казахстан
21112,Iванов Володимир Iллiч,Заступник члена Постiйної делегацiї в мiжпарламентськiй органiзацiї,Постiйна делегацiя у Парламентськiй асамблеї Органiзацiї Чорноморського економiчного спiвробiтництва,Заступник члена Постiйної делегацiї у Парламентськiй асамблеї Органiзацiї Чорноморського економiчного спiвробiтництва
21112,Iванов Володимир Iллiч,Заступник спiвголови групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Державою Iзраїль,Заступник спiвголови групи з мiжпарламентських зв'язкiв з Державою Iзраїль
21112,Iванов Володимир Iллiч,Заступник спiвголови групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Королiвством Нiдерландiв,Заступник спiвголови групи з мiжпарламентських зв'язкiв з Королiвством Нiдерландiв
21112,Iванов Володимир Iллiч,Заступник спiвголови групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Державою Катар,Заступник спiвголови групи з мiжпарламентських зв'язкiв з Державою Катар
21112,Iванов Володимир Iллiч,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Турецькою Республiкою,Член групи з мiжпарламентських зв'язкiв з Турецькою Республiкою
21112,Iванов Володимир Iллiч,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Грузiєю,Член групи з мiжпарламентських зв'язкiв з Грузiєю
15654,Iванчук Андрiй Володимирович,Член депутатської групи,"Група ""ДОВIРА""","Член депутатської групи ""ДОВIРА"""
15654,Iванчук Андрiй Володимирович,Секретар групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Латвiйською Республiкою,Секретар групи з мiжпарламентських зв'язкiв з Латвiйською Республiкою
15654,Iванчук Андрiй Володимирович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Республiкою Словенiя,Член групи з мiжпарламентських зв'язкiв з Республiкою Словенiя
15654,Iванчук Андрiй Володимирович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв з Iталiйською Республiкою,Член групи з мiжпарламентських зв'язкiв з Iталiйською Республiкою
15654,Iванчук Андрiй Володимирович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв з Естонською Республiкою,Член групи з мiжпарламентських зв'язкiв з Естонською Республiкою
15654,Iванчук Андрiй Володимирович,Заступник спiвголови групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Литовською Республiкою,Заступник спiвголови групи з мiжпарламентських зв'язкiв з Литовською Республiкою
15654,Iванчук Андрiй Володимирович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Королiвством Бельгiя,Член групи з мiжпарламентських зв'язкiв з Королiвством Бельгiя
15733,Iвахiв Степан Петрович,Перший заступник голови Комiтету Верховної Ради України,Комiтет Верховної Ради України з питань екологiчної полiтики та природокористування,Перший заступник голови Комiтету Верховної Ради України з питань екологiчної полiтики та природокористування
15733,Iвахiв Степан Петрович,Член депутатської групи,"Група ""За майбутнє"" у Верховнiй Радi України","Член депутатської групи ""За майбутнє"" у Верховнiй Радi України"
15733,Iвахiв Степан Петрович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Чеською Республiкою,Член групи з мiжпарламентських зв'язкiв з Чеською Республiкою
15733,Iвахiв Степан Петрович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Канадою,Член групи з мiжпарламентських зв'язкiв з Канадою
15733,Iвахiв Степан Петрович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Королiвством Швецiя,Член групи з мiжпарламентських зв'язкiв з Королiвством Швецiя
15733,Iвахiв Степан Петрович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Республiкою Словенiя,Член групи з мiжпарламентських зв'язкiв з Республiкою Словенiя
18055,Iвченко Вадим Євгенович,Член Комiтету Верховної Ради України,Комiтет Верховної Ради України з питань аграрної та земельної полiтики,Член Комiтету Верховної Ради України з питань аграрної та земельної полiтики
18055,Iвченко Вадим Євгенович,Член депутатської фракцiї,"Фракцiя полiтичної партiї Всеукраїнське об'єднання ""Батькiвщина"" у Верховнiй Радi України дев'ятого скликання","Член депутатської фракцiї полiтичної партiї Всеукраїнське об'єднання ""Батькiвщина"" у Верховнiй Радi України дев'ятого скликання"
18055,Iвченко Вадим Євгенович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Французькою Республiкою,Член групи з мiжпарламентських зв'язкiв з Французькою Республiкою
18055,Iвченко Вадим Євгенович,Заступник члена Постiйної делегацiї в мiжпарламентськiй органiзацiї,Постiйна делегацiя у Парламентськiй асамблеї Органiзацiї Чорноморського економiчного спiвробiтництва,Заступник члена Постiйної делегацiї у Парламентськiй асамблеї Органiзацiї Чорноморського економiчного спiвробiтництва
18055,Iвченко Вадим Євгенович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Грузiєю,Член групи з мiжпарламентських зв'язкiв з Грузiєю
18055,Iвченко Вадим Євгенович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв з Об'єднаними Арабськими Емiратами,Член групи з мiжпарламентських зв'язкiв з Об'єднаними Арабськими Емiратами
18055,Iвченко Вадим Євгенович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв iз Сполученим Королiвством Великої Британiї та Пiвнiчної Iрландiї,Член групи з мiжпарламентських зв'язкiв з Сполученим Королiвством Великої Британiї та Пiвнiчної Iрландiї
18055,Iвченко Вадим Євгенович,Член групи з мiжпарламентських зв'язкiв,Депутатська група Верховної Ради України з мiжпарламентських зв'язкiв з Азербайджанською Республiкою,Член групи з мiжпарламентських зв'язкiв з Азербайджанською Республiкою
15672,Iонова Марiя Миколаївна,Голова пiдкомiтету Комiтету Верховної Ради України,Пiдкомiтет з питань законодавчого забезпечення реалiзацiї закрiпленого в Конституцiї України стратегiчного курсу держави на набуття повноправного членства в ЄС та НАТО Комiтету Верховної Ради України з питань зовнiшньої полiтики та мiжпарламентського спiвробiтництва,Голова пiдкомiтету з питань законодавчого забезпечення реалiзацiї закрiпленого в Конституцiї України стратегiчного курсу держави на набуття повноправного членства в ЄС та НАТО Комiтету Верховної Ради України з питань зовнiшньої полiтики та мiжпарламентського спiвробiтництва
